Gene_symbol	Genes	Freq
TG	thyroglobulin	2
THBS2	thrombospondin 2	2
TLR9	toll like receptor 9	2
TMPRSS2	transmembrane serine protease 2	2
UBE2L3	ubiquitin conjugating enzyme E2 L3	2
VDAC1	voltage dependent anion channel 1	2
ACE2	angiotensin I converting enzyme 2	1
ACTA2	actin alpha 2, smooth muscle	1
ADAMDEC1	ADAM like decysin 1	1
ADRA2A	adrenoceptor alpha 2A	1
AHR	aryl hydrocarbon receptor	1
AHRR	aryl-hydrocarbon receptor repressor	1
AKT1	AKT serine/threonine kinase 1	1
ALB	albumin	1
APCS	amyloid P component, serum	1
APOB	apolipoprotein B	1
AQP1	aquaporin 1 (Colton blood group)	1
ATG4C	autophagy related 4C cysteine peptidase	1
B4GALNT2	beta-1,4-N-acetyl-galactosaminyltransferase 2	1
BDNF	brain derived neurotrophic factor	1
BRD3	bromodomain containing 3	1
CARD9	caspase recruitment domain family member 9	1
CCL19	C-C motif chemokine ligand 19	1
CCL20	C-C motif chemokine ligand 20	1
CCR5	C-C motif chemokine receptor 5	1
CCR6	C-C motif chemokine receptor 6	1
CD28	CD28 molecule	1
CD48	CD48 molecule	1
CD55	CD55 molecule (Cromer blood group)	1
CD79B	CD79b molecule	1
CDA	cytidine deaminase	1
CDKN2B	cyclin dependent kinase inhibitor 2B	1
CHP2	calcineurin like EF-hand protein 2	1
CLEC3B	C-type lectin domain family 3 member B	1
CLEC4A	C-type lectin domain family 4 member A	1
CLEC4G	C-type lectin domain family 4 member G	1
CNTNAP2	contactin associated protein 2	1
COL3A1	collagen type III alpha 1 chain	1
COL4A1	collagen type IV alpha 1 chain	1
COL4A2	collagen type IV alpha 2 chain	1
COL6A3	collagen type VI alpha 3 chain	1
COL15A1	collagen type XV alpha 1 chain	1
COL18A1	collagen type XVIII alpha 1 chain	1
CPD	carboxypeptidase D	1
CPE	carboxypeptidase E	1
CPT1A	carnitine palmitoyltransferase 1A	1
CSF3	colony stimulating factor 3	1
CSNK1G1	casein kinase 1 gamma 1	1
CTSK	cathepsin K	1
CXCL2	C-X-C motif chemokine ligand 2	1
CXCL11	C-X-C motif chemokine ligand 11	1
CYBA	cytochrome b-245 alpha chain	1
CYP1A2	cytochrome P450 family 1 subfamily A member 2	1
DDX3Y	DEAD-box helicase 3 Y-linked	1
DEFA5	defensin alpha 5	1
DEFA6	defensin alpha 6	1
DHRS3	dehydrogenase/reductase 3	1
DSP	desmoplakin	1
EFEMP1	EGF containing fibulin extracellular matrix protein 1	1
ELP5	elongator acetyltransferase complex subunit 5	1
ERG	ETS transcription factor ERG	1
EVL	Enah/Vasp-like	1
FCRL6	Fc receptor like 6	1
FCRLA	Fc receptor like A	1
FGR	FGR proto-oncogene, Src family tyrosine kinase	1
FH	fumarate hydratase	1
FHL2	four and a half LIM domains 2	1
FMOD	fibromodulin	1
FOLH1	folate hydrolase 1	1
FPR1	formyl peptide receptor 1	1
FRZB	frizzled related protein	1
GNA15	G protein subunit alpha 15	1
GNAI2	G protein subunit alpha i2	1
GPR19	G protein-coupled receptor 19	1
GPX1	glutathione peroxidase 1	1
GREM1	gremlin 1, DAN family BMP antagonist	1
GSN	gelsolin	1
GSTA1	glutathione S-transferase alpha 1	1
GUCA2A	guanylate cyclase activator 2A	1
HDAC1	histone deacetylase 1	1
HDAC2	histone deacetylase 2	1
HDAC7	histone deacetylase 7	1
HGFAC	HGF activator	1
HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2	1
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	1
HP	haptoglobin	1
HPN	hepsin	1
HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	1
IER3	immediate early response 3	1
IGF1R	insulin like growth factor 1 receptor	1
IGSF9	immunoglobulin superfamily member 9	1
IL2	interleukin 2	1
IL3	interleukin 3	1
IL7	interleukin 7	1
IL10	interleukin 10	1
IL15	interleukin 15	1
IL18	interleukin 18	1
IL22	interleukin 22	1
IL23A	interleukin 23 subunit alpha	1
INPP4B	inositol polyphosphate-4-phosphatase type II B	1
IPW	imprinted in Prader-Willi syndrome	1
IRF1	interferon regulatory factor 1	1
ISG15	ISG15 ubiquitin like modifier	1
ITGA1	integrin subunit alpha 1	1
ITGAM	integrin subunit alpha M	1
ITGAX	integrin subunit alpha X	1
KCNQ1OT1	KCNQ1 opposite strand/antisense transcript 1	1
KITLG	KIT ligand	1
KMO	kynurenine 3-monooxygenase	1
LAMB1	laminin subunit beta 1	1
LCP2	lymphocyte cytosolic protein 2	1
LILRB2	leukocyte immunoglobulin like receptor B2	1
LINC00852	long intergenic non-protein coding RNA 852	1
LPAR2	lysophosphatidic acid receptor 2	1
LTA	lymphotoxin alpha	1
MBL2	mannose binding lectin 2	1
MGAT3	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	1
MGMT	O-6-methylguanine-DNA methyltransferase	1
MIF	macrophage migration inhibitory factor	1
MMP1	matrix metallopeptidase 1	1
MMP3	matrix metallopeptidase 3	1
MMP10	matrix metallopeptidase 10	1
MTRNR2L8	MT-RNR2 like 8	1
MUC3A	mucin 3A, cell surface associated	1
MUC6	mucin 6, oligomeric mucus/gel-forming	1
MUC12	mucin 12, cell surface associated	1
NCF2	neutrophil cytosolic factor 2	1
NCF4	neutrophil cytosolic factor 4	1
NEAT1	nuclear paraspeckle assembly transcript 1	1
NLRP12	NLR family pyrin domain containing 12	1
NOS2	nitric oxide synthase 2	1
NPC1L1	NPC1 like intracellular cholesterol transporter 1	1
OSM	oncostatin M	1
PAX5	paired box 5	1
PCSK9	proprotein convertase subtilisin/kexin type 9	1
PDC	phosducin	1
PGD	phosphogluconate dehydrogenase	1
PIK3R3	phosphoinositide-3-kinase regulatory subunit 3	1
PMP22	peripheral myelin protein 22	1
PRKCB	protein kinase C beta	1
PTGS2	prostaglandin-endoperoxide synthase 2	1
PTPRC	protein tyrosine phosphatase receptor type C	1
RABEP1	rabaptin, RAB GTPase binding effector protein 1	1
RAC2	Rac family small GTPase 2	1
RBP4	retinol binding protein 4	1
RIPK2	receptor interacting serine/threonine kinase 2	1
S100A12	S100 calcium binding protein A12	1
S100P	S100 calcium binding protein P	1
SCRN1	secernin 1	1
SERPINA3	serpin family A member 3	1
SHBG	sex hormone binding globulin	1
SLC13A2	solute carrier family 13 member 2	1
SLC15A1	solute carrier family 15 member 1	1
SNX10	sorting nexin 10	1
SOCS3	suppressor of cytokine signaling 3	1
SST	somatostatin	1
SYN2	synapsin II	1
TALDO1	transaldolase 1	1
TF	transferrin	1
TIMP1	TIMP metallopeptidase inhibitor 1	1
TNFSF12	TNF superfamily member 12	1
TYK2	tyrosine kinase 2	1
ULK1	unc-51 like autophagy activating kinase 1	1
XIST	X inactive specific transcript	1
XPNPEP2	X-prolyl aminopeptidase 2	1
ZBTB38	zinc finger and BTB domain containing 38	1
ZDHHC2	zinc finger DHHC-type palmitoyltransferase 2	1
